行政區,路名,段號及其他註明,經度,緯度,備註
內湖區,民權東路,民權東路6段138號(新湖國小前),121.58877,25.068902,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路2段312巷口(湖興公園前),121.590518,25.06688,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路2段233號(薑母鴨前),121.590828,25.067736,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,民權東路,民權東路6段97號(士林地方法院前),121.588341,25.069167,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,民權東路,民權東路6段45號(三民國中左邊),121.585607,25.06903,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,民權東路,民權東路6段156號(土地銀行前),121.591798,25.06883,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,民權東路,民權東路6段186號旁,121.59319,25.068808,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,民權東路,民權東路6段208號(網球中心站牌),121.596793,25.067759,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,民權東路,民權東路6段218巷口民權敦品公車站牌,121.598281,25.067105,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,民權東路,民權東路6段191巷口,121.597666,25.067621,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路2段193巷口(下灣公園前),121.590735,25.066867,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路2段(三軍總院站牌),121.590074,25.071174,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路2段369號(橡木桶前),121.590067,25.073745,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,民權東路,民權東路6段228號前人行道,121.599735,25.066729,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,民權東路,民權東路6段253號前人行道,121.601013,25.067322,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,民權東路,民權東路6段173號公車站牌旁,121.595968,25.068342,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,文德路,文德路單號側(內湖高中站牌),121.588224,25.078998,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,陽光街,陽光街雙號側(內湖國中站牌),121.587712,25.076974,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,陽光街,陽光街單號側(內湖國中站牌),121.587773,25.076899,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,文德路,文德路175號前(捷運站旁),121.586021,25.078672,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,文德路,文德路50號(文德3號公園前),121.580915,25.078368,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路3段(內湖國中成功路側門右邊),121.589948,25.077045,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路3段(內湖國中成功路側門右邊),121.59004,25.076775,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,石潭路,石潭路137號前(石潭成功路口站牌),121.58954,25.06334,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,石潭路,石潭路137號前(石潭成功路口站牌),121.58905,25.0632,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,行善路,行善路417巷口,121.58584,25.06487,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,行善路,行善路與金豐街交叉口,121.58609,25.06602,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,南京東路,南京東路六段與堤頂大道交叉口,121.576301,25.054826,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路二段376號防災科學教育館側邊,121.590029,25.069098,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,文德路,文德捷運站2號出口右側50公尺處,121.5851287,25.07843929,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路4段360號,121.600291,25.084755,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路4段64號,121.592608,25.082647,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路3段61號方濟中學,121.590254,25.076919,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路3段143號,121.5900094,25.0795986,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,大湖街,成功路4段57號公車站牌,121.592259,25.081939,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路4段155號,121.594027,25.083273,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路4段363號,121.600137,25.084547,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路5段大湖公園捷運站2號出口,121.602535,25.083526,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路5段大湖公園1(游泳池),121.604992,25.082869,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路5段大湖公園2(觀景台往回走30公尺處),121.606554,25.081568,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路5段大湖公園3(靠東湖),121.607127,25.079751,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路5段大湖公園捷運站1號出口,121.602631,25.083767,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,金龍路,金龍路226號,121.586706,25.088489,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,內湖路,內湖路2段177號,121.587041,25.081281,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路4段188號(內湖捷運站1號出口1),121.594069,25.083805,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路3段172之2號,121.590657,25.080705,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路4段188號(內湖捷運站1號出口2),121.594705,25.083987,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,金龍路,金龍路152號旁(金龍隧道口公車站),121.589103,25.086266,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,康寧路,康寧路3段183號,121.611832,25.070028,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,康寧路,康寧路3段105號(明湖國小),121.610746,25.071044,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,康寧路,康寧路3段81號公車站牌,121.609381,25.071824,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路5段39號前,121.606994,25.07762,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路5段404號對面候車亭,121.607143,25.075824,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,東湖路,東湖路142號公車站牌,121.616935,25.068019,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,民權東路,民權東路6段471號公車站牌,121.604954,25.072516,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,康寧路,康寧路3段157號公車站牌,121.611479,25.070491,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,康寧路,康寧路3段54-5號公車站牌,121.609292,25.071611,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,康寧路,康寧路3段70巷口明湖國中旁,121.611121,25.070433,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,康寧路,康寧路3段220號,121.611502,25.067608,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,東湖路,東湖路130號,121.616675,25.068087,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,康寧路,康寧路3段16號葫洲捷運站2號出口,121.6069892,25.0726127,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,安康路,安康路內湖焚化廠內,121.604699,25.063238,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,成功路,成功路5段450巷23弄口葫洲捷運站,121.608274,25.072665,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,康寧路,康寧路3段18號,121.60746,25.072419,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,康寧路,康寧路3段東湖捷運站2號出口,121.611256,25.067153,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,康寧路,康寧路3段51號葫洲站1號出口,121.607904,25.072534,嚴禁投入家用垃圾，違者重罰新臺幣6000元
內湖區,安康路,內湖焚化廠能源中心前公車站牌,121.603413,25.062444,嚴禁投入家用垃圾，違者重罰新臺幣6000元
